1,3,844,rlowndesbrough0,50,28,372,2018-06-04 09:00:55
2,4,72,rvineall1,26,14,245,2019-02-26 02:12:15
3,1,62,fluety2,41,4,861,2018-08-06 05:27:01
4,1,273,jtidman3,49,80,488,2019-04-10 23:01:57
5,4,168,jgrebner4,56,88,979,2018-12-29 04:38:34
6,1,936,dhaythorn5,95,88,496,2019-05-07 21:32:20
7,2,827,jripping6,79,85,632,2018-10-20 01:13:50
8,3,353,erumbold7,5,40,265,2019-01-19 23:17:19
9,4,573,oassender8,1,20,195,2019-03-26 12:51:25
10,1,993,lphelips9,22,96,412,2019-02-09 23:22:41
11,4,346,fbantocka,21,33,405,2018-06-10 18:37:52
12,4,678,sfearnb,72,48,889,2018-07-20 18:46:35
13,2,79,tmussoc,88,43,738,2019-01-24 13:30:56
14,2,145,avintd,80,97,327,2019-05-13 05:41:38
15,2,680,ccubitte,85,60,889,2019-01-17 20:57:04
16,1,839,bepgravef,98,22,212,2019-05-18 23:58:26
17,2,829,ibirwhistleg,97,23,210,2018-10-24 06:23:30
18,3,626,ddraysayh,99,45,634,2018-07-01 07:10:28
19,1,804,kmoodycliffei,45,18,30,2019-01-18 04:48:47
20,4,99,ktwidalej,32,43,564,2019-03-09 08:49:36
21,1,97,htrinkek,59,56,368,2018-08-19 19:33:21
22,1,211,eswadonl,80,69,575,2018-09-26 16:58:11
23,1,955,civanishchevm,3,74,232,2018-12-08 06:59:39
24,2,17,tbayfordn,2,97,876,2018-11-15 09:43:32
25,2,284,oprawleo,13,78,228,2018-09-29 20:21:39
26,2,122,mleborgnep,55,46,838,2018-10-29 19:01:17
27,3,173,jmccaheyq,25,88,247,2019-04-28 11:06:42
28,1,466,mlowlesr,17,99,798,2019-05-22 01:58:47
29,2,672,adibdins,90,19,696,2018-12-14 12:11:09
30,1,466,cmccolet,81,26,29,2018-11-05 15:37:10
31,2,665,mhalliganu,100,53,579,2018-08-27 09:45:47
32,3,253,bwenmanv,30,90,166,2019-01-12 11:15:52
33,3,594,lcastelluzziw,59,46,292,2019-01-22 01:48:55
34,1,134,vbarentsx,81,95,91,2018-07-05 09:07:34
35,1,372,jwintersony,11,46,111,2019-03-04 06:35:53
36,3,755,jstroyanz,63,88,794,2019-02-23 21:24:35
37,2,541,agouda10,10,85,187,2019-01-20 09:28:37
38,4,167,hkeppy11,54,71,85,2018-07-27 07:32:06
39,1,196,hsaffin12,84,32,533,2018-07-11 15:37:24
40,4,214,ebeaston13,78,40,932,2018-06-14 04:32:21
41,1,868,aprati14,40,52,348,2018-09-07 14:42:09
42,3,151,dlude15,97,39,18,2018-07-30 18:19:01
43,1,199,radlam16,34,41,400,2018-06-11 09:54:36
44,2,209,jpetrescu17,40,28,55,2019-05-02 04:16:40
45,3,686,rlast18,8,67,148,2018-12-06 03:15:13
46,4,499,noverington19,12,71,449,2019-02-15 00:02:22
47,1,858,jyakobowitch1a,42,36,859,2018-08-30 18:14:27
48,1,965,lpaget1b,79,64,232,2019-04-04 01:39:33
49,4,545,bbrownbridge1c,68,6,876,2018-08-15 17:51:32
50,2,891,aoake1d,69,12,790,2018-07-25 11:22:42
51,3,349,rcondict1e,24,37,898,2018-12-08 08:27:03
52,3,305,mwhorall1f,72,24,619,2018-11-22 09:44:46
53,1,604,dmaffin1g,20,2,758,2019-01-24 03:51:31
54,2,209,delsbury1h,77,31,652,2018-12-16 20:11:42
55,3,477,epaprotny1i,3,88,782,2018-11-11 04:33:07
56,1,500,erountree1j,18,22,827,2019-01-17 01:34:48
57,3,814,bkennion1k,88,34,717,2018-09-24 18:44:08
58,4,580,dholttom1l,15,4,953,2019-04-22 02:22:03
59,4,395,tdavson1m,56,77,636,2018-10-18 22:15:19
60,1,830,phardcastle1n,15,77,153,2018-12-20 18:00:20
61,1,887,msimes1o,94,72,71,2019-05-30 13:24:35
62,2,940,rgauler1p,98,25,587,2018-06-05 07:11:20
63,3,218,fbruun1q,28,94,2,2018-06-11 18:24:44
64,1,384,gcasseldine1r,57,17,768,2018-11-18 12:57:03
65,3,642,mpear1s,87,47,409,2018-10-08 12:55:00
66,2,320,sbritcher1t,79,74,396,2018-07-10 00:07:04
67,3,887,ctonbridge1u,9,16,921,2018-08-09 06:52:22
68,1,946,kcrow1v,84,60,201,2018-06-11 02:03:52
69,4,669,nibeson1w,4,89,629,2018-09-14 18:28:55
70,1,772,bmendez1x,9,97,396,2018-12-16 11:50:14
71,2,410,cmarquet1y,35,95,863,2018-07-17 13:18:12
72,3,217,grassell1z,54,37,308,2018-09-20 10:20:32
73,3,458,bnewdick20,35,4,847,2018-08-08 11:35:34
74,4,722,lpoulson21,9,72,898,2018-12-11 08:31:05
75,4,809,bclinton22,95,80,492,2018-12-19 22:10:39
76,2,703,bstooders23,31,38,496,2018-08-06 03:21:28
77,2,96,fcrippell24,97,89,81,2019-03-31 23:00:10
78,2,132,pdorie25,42,42,490,2019-01-22 18:13:05
79,4,975,pgrimsdyke26,9,64,430,2019-04-03 05:19:26
80,1,337,ahurdedge27,19,12,367,2018-11-13 16:58:08
81,3,822,rclemmensen28,9,77,827,2018-11-08 12:35:43
82,3,902,kwolpert29,25,71,464,2018-12-29 17:32:22
83,2,561,rmarris2a,59,47,245,2019-04-12 12:16:52
84,4,30,jjeske2b,1,7,693,2018-07-17 04:18:03
85,1,683,kdowdell2c,4,66,846,2019-05-20 16:02:55
86,2,157,ethornally2d,67,41,680,2019-01-24 00:14:38
87,3,260,rbrim2e,60,69,664,2019-03-14 19:45:35
88,2,724,ucushworth2f,26,9,617,2019-03-23 22:50:43
89,2,971,bchrispin2g,26,67,447,2019-01-09 01:23:35
