1,2018-10-04,997,260
2,2018-07-14,392,790
3,2018-08-03,706,517
4,2018-12-14,446,952
5,2018-06-24,517,408
6,2019-03-17,372,644
7,2018-12-11,909,726
8,2018-08-31,142,785
9,2019-03-15,462,123
10,2018-07-15,229,372
11,2019-04-30,318,941
12,2019-04-10,657,809
13,2018-12-03,832,140
14,2018-07-09,180,818
15,2019-04-09,186,89
16,2018-12-07,876,500
17,2018-08-06,487,569
18,2018-09-18,337,738
19,2019-04-06,860,716
20,2019-03-18,445,898
21,2018-08-18,775,841
22,2018-09-08,467,859
23,2019-03-06,683,919
24,2018-09-18,545,342
25,2018-07-02,910,785
26,2019-03-02,568,800
27,2019-03-10,829,923
28,2019-04-29,814,613
29,2018-07-17,397,976
30,2018-10-14,880,223
31,2018-09-10,236,839
32,2018-06-14,390,904
33,2019-05-02,269,78
34,2019-02-10,456,648
35,2018-12-04,886,405
36,2019-01-22,822,337
37,2018-06-05,350,341
38,2019-04-30,761,18
39,2019-05-09,197,545
40,2018-07-22,51,899
41,2019-03-22,924,966
42,2018-09-16,664,145
43,2019-03-07,435,78
44,2018-11-28,570,597
45,2018-07-25,144,731
46,2019-02-03,25,568
47,2018-11-11,821,642
48,2018-07-04,380,436
49,2018-06-09,414,102
50,2018-09-29,938,727
51,2019-04-27,74,372
52,2019-05-23,89,48
53,2018-09-02,167,537
54,2019-01-01,376,449
55,2019-02-10,252,966
56,2018-07-23,977,11
57,2019-04-28,893,995
58,2018-12-28,308,675
59,2018-12-18,931,622
60,2018-12-15,279,956
61,2018-11-12,72,201
62,2018-10-12,415,957
63,2018-09-18,621,975
64,2018-09-01,938,222
65,2018-08-15,450,791
66,2019-03-16,270,891
67,2019-03-22,462,430
68,2018-11-22,279,188
69,2019-04-14,352,516
70,2019-04-19,488,784
71,2018-11-15,969,311
72,2019-03-29,859,201
73,2019-03-24,915,956
74,2018-09-16,553,806
75,2019-04-02,381,733
76,2019-03-19,398,395
77,2019-04-22,841,740
78,2019-03-28,206,448
79,2018-07-17,420,722
80,2018-11-18,761,513
81,2019-05-06,548,346
82,2018-11-07,795,719
83,2018-06-24,626,365
84,2018-09-09,710,773
85,2018-09-01,715,812
86,2019-05-09,907,340
87,2018-06-22,851,888
88,2019-01-20,188,278
89,2019-03-22,41,647
90,2019-04-13,382,251
91,2018-08-24,955,301
92,2019-05-18,940,574
93,2019-02-18,423,905
94,2018-07-05,790,903
95,2018-10-10,328,93
96,2018-07-22,825,836
97,2018-08-10,234,752
98,2019-05-15,752,570
99,2018-06-23,116,523
100,2018-11-19,731,487
101,2018-06-11,550,785
102,2018-10-15,732,391
103,2019-01-02,644,69
104,2018-07-03,90,725
105,2018-07-17,359,784
106,2018-12-27,578,510
107,2019-04-16,267,582
108,2019-05-02,649,178
109,2019-04-03,828,702
110,2018-07-04,366,643
111,2019-03-01,622,25
112,2018-06-26,376,994
113,2018-10-05,953,716
114,2018-08-07,395,83
115,2019-05-07,822,419
116,2018-10-24,390,999
117,2019-04-26,981,103
118,2018-10-24,894,931
119,2019-05-29,789,719
120,2018-10-26,318,484
121,2018-07-29,904,613
122,2019-02-09,327,776
123,2018-08-01,734,380
124,2019-05-12,384,860
125,2019-01-12,654,126
126,2018-12-03,331,575
127,2018-12-04,923,8
128,2019-05-20,625,781
129,2019-01-22,679,848
130,2019-01-21,642,308
131,2018-09-24,731,984
132,2019-01-19,919,76
133,2018-10-10,987,227
