1,924,gwestmerland0,30,16,12
2,10,mgrishkov1,41,43,18
3,275,mgiacopini2,32,32,43
4,3,djarville3,32,4,33
5,412,rstennings4,50,17,49
6,179,pfransson5,38,1,5
7,698,jjanota6,34,28,46
8,567,cattoe7,42,48,35
9,262,rbrock8,23,39,33
10,726,ushillaker9,7,21,38
11,912,mmacadiea,36,50,26
12,390,daylinb,24,24,7
13,986,rbeardshallc,40,24,4
14,697,ibennelld,16,12,6
15,986,rstoneye,1,41,20
16,554,hlardeuxf,44,48,32
17,70,sforrestillg,41,33,16
18,988,bwetherickh,2,25,26
19,258,prawlencei,48,4,42
20,570,jtuffieldj,49,20,49
21,891,bmccullockk,38,46,38
22,35,gfulfordl,49,21,9
23,592,amangerm,19,4,33
24,540,tblenkharnn,42,2,22
25,770,lshillidayo,14,42,37
26,133,scuttlerp,22,17,13
27,43,ssebbornq,5,26,38
28,617,bspencleyr,29,25,40
29,275,tmedmores,17,7,19
30,696,pmackerleyt,18,32,14
31,114,bartheyu,40,10,13
32,432,hdelhayv,44,40,46
33,179,emccandlessw,26,26,14
34,636,cflewx,24,24,10
35,784,tcogleyy,20,50,38
36,409,wbeardsallz,47,27,13
37,68,ayandle10,10,23,42
38,402,alumm11,13,50,50
39,572,dguard12,7,46,5
40,632,nmacpeice13,15,22,44
41,189,rhurdman14,15,41,26
42,64,lhardin15,20,19,33
43,257,bedinborough16,17,1,43
44,621,akuhnke17,13,29,8
45,473,jharnes18,18,5,34
46,267,djacquemet19,27,28,2
47,568,acurror1a,37,19,12
48,365,cmarsy1b,43,26,11
49,251,cpimm1c,6,17,16
50,205,dshipcott1d,24,2,32
51,646,polivella1e,27,21,26
52,531,sshreenan1f,38,17,37
53,502,zdixcey1g,27,21,42
54,302,tsustin1h,2,32,29
55,674,ndressel1i,20,35,29
56,783,abonome1j,29,15,17
57,871,agurry1k,36,28,2
58,650,dcharlon1l,36,48,7
59,103,alello1m,1,9,29
60,190,zpickle1n,30,39,9
61,620,pmcconnulty1o,43,41,32
62,241,mcurmi1p,17,29,23
63,848,mcressingham1q,30,6,6
64,342,fhainey1r,3,23,33
65,610,mleahey1s,48,30,26
66,2,bgoscomb1t,9,38,15
67,308,mscrannage1u,25,19,6
68,118,llyons1v,14,22,22
69,965,slempenny1w,12,24,25
70,372,qalesio1x,20,49,28
71,11,ogerrelts1y,18,42,23
72,512,bkilmister1z,26,32,42
73,357,jriseborough20,49,47,39
74,533,btotterdill21,23,31,50
75,752,jgarrit22,11,17,47
76,518,dbarbie23,50,46,21
77,880,lcoupman24,40,41,16
78,235,mector25,16,23,24
79,244,hberndsen26,14,30,22
80,20,pmackelworth27,29,12,11
81,189,karens28,36,32,44
82,441,achape29,46,14,11
83,389,ldowtry2a,13,36,2
84,243,rcupitt2b,20,6,1
85,230,mjosling2c,29,18,8
86,534,asilveston2d,12,50,27
87,811,omore2e,31,34,42
88,819,zmariet2f,27,48,44
89,560,spelcheur2g,36,39,14
90,294,rposvner2h,32,45,20
91,189,apaik2i,39,6,49
92,31,zleades2j,30,28,24
93,420,nmcneice2k,46,43,22
94,720,dduiguid2l,25,38,35
95,334,mgladyer2m,39,20,4
96,478,cgilbody2n,33,23,21
97,381,vluten2o,38,37,3
98,395,bjanz2p,39,46,17
99,721,jcallery2q,49,21,21
100,880,dscurrell2r,12,26,34
101,314,rasplen2s,17,6,28
102,540,cmoan2t,41,8,4
103,165,cstiling2u,47,15,8
104,724,sbescoby2v,46,17,42
105,793,jovise2w,3,45,21
106,478,ebolton2x,12,28,43
107,266,tpawlett2y,50,29,13
108,979,hmccrossan2z,38,41,2
109,905,dnaper30,39,1,11
110,530,erodell31,29,49,4
111,299,bgravie32,10,2,20
112,712,mnelthorpe33,16,7,13
113,478,vseabrocke34,22,28,4
114,299,amacculloch35,35,42,38
115,546,pbrennenstuhl36,38,7,20
116,963,iginty37,36,7,13
117,507,ssotworth38,3,41,45
118,938,sfetters39,5,39,47
119,75,jblackstone3a,12,5,28
120,275,acowthart3b,6,23,33
121,728,taldersea3c,8,1,11
122,194,epincott3d,29,11,50
123,355,kpietersma3e,45,36,13
124,477,sgascoigne3f,28,15,43
125,162,mguterson3g,35,17,41
126,790,orelfe3h,40,29,18
127,453,mtarbatt3i,42,17,5
128,542,acabrara3j,20,27,30
129,875,xpinchen3k,5,9,30
130,387,bmarriott3l,25,33,47
131,101,nraye3m,13,23,14
132,400,cconnechy3n,10,26,45
133,406,mmaciaszek3o,30,49,47
134,857,kcrichten3p,45,4,29
135,728,tlambertciorwyn3q,13,10,20
136,219,veverill3r,9,20,32
137,234,rcortes3s,8,23,25
138,613,kmillett3t,30,19,40
139,84,nwycliffe3u,37,35,18
140,136,jblaes3v,27,11,2
141,629,kisson3w,19,15,37
142,619,rcrapper3x,46,19,5
143,957,bgrolmann3y,4,30,16
144,271,akitchen3z,11,35,34
145,63,mullyatt40,16,9,50
146,360,jgreenhill41,27,43,11
147,85,ckintish42,5,8,49
148,703,rmaccarrick43,22,1,30
149,149,litzcovich44,36,40,9
150,779,ipittaway45,28,15,27
151,19,rwaddilove46,8,19,14
152,272,aknellen47,12,43,18
153,407,shodcroft48,14,37,23
154,813,nhearson49,7,4,12
155,941,pstuchbery4a,22,38,36
156,553,cverney4b,10,25,21
157,401,mnortcliffe4c,34,32,48
158,19,bmacvay4d,29,50,9
159,307,dbeade4e,14,47,6
160,923,bmathewes4f,9,45,20
161,951,rsahlstrom4g,48,10,32
162,763,aaitchinson4h,16,12,28
163,542,agoldspink4i,47,4,45
164,156,pphilippard4j,40,46,12
165,248,mavrahamoff4k,15,11,41
166,285,ctrowell4l,8,37,38
167,688,poteague4m,28,30,31
168,566,dsellers4n,47,36,8
169,841,kkierans4o,25,50,27
170,9,rlittlekit4p,37,38,30
171,862,bdibiasi4q,1,30,12
172,381,obuche4r,2,1,3
173,860,lcharlotte4s,22,18,14
174,773,cdoy4t,8,14,16
